Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
A	103560727	0.0	ST	BELT 80X3X2530,0	5.0
A	104059311	1.0	ST	SHAFT SEALING 65X90X10	0.0
A	104196402	1.0	ST	FLAT BELT 50X2,4X1920	0.0
A	104212300	22.0	ST	O-RING 240,00X5,00	0.0
A	104230500	4.0	ST	FOAM RUBBER 60X12X2600	4.0
A	104230503	4.0	ST	FOAM RUBBER 60X40X12	0.0
A	104462901	4.0	ST	EMERGENCY STOP MODULE 24VAC/DC	0.0
A	104581513	2.0	ST	O-RING 10X2	0.0
A	104581529	27.0	ST	SEALING RING 60X  50X  7	50.0
A	104581595	104.0	ST	BRAKE LINING CORRUDUR® 64X5X10	88.0
A	105073780	2.0	ST	KNIFE 2540X32X8 AB2500	7.0
A	105073880	2.0	ST	KNIFE 2540X28X8 AB2500	7.0
A	105131800	1.0	ST	TOOTHED BELT 30X8X 880	0.0
A	105207600	1.0	ST	TOOTHED BELT AT 50X10X2240	0.0
A	105303965	32.0	ST	DISC CUT KNIFE 240X1,2/0,35MM,20°	286.0
A	105331800	0.0	ST	PROXIMITY SWITCH	1.0
A	105337510	5.0	ST	PROFILED JOINT 20X25X637	5.0
A	105406991	28.0	ST	GRINDING WHEEL 50X11X19MM	124.0
A	105407210	6.0	ST	TOOTHED BELT 29,5X 8X 640	1.0
A	105899900	1.0	ST	TOOTHED BELT HTD 9X 5X 980	0.0
A	106250400	1.0	M	PROFILE FOR METAL CLAMPING 1-3 MM	0.0
A	106363800	1.0	ST	LIGHT BARRIER 10-30 VDC	0.0
A	106363900	1.0	ST	LIGHT BARRIER SENDER	0.0
A	106566766	12.0	ST	LOCKING PLATE FUER D=16	8.0
A	106606921	152.0	ST	CLEAN-OUT FINGER BL1.0X98X90LG	349.0
A	106885100	12.0	ST	RADIAL SHAFT SEAL 188X225X15	0.0
A	106885200	11.0	ST	RADIAL SHAFT SEAL 143X184X15	0.0
A	107254210	1300.0	ST	FELT 46X35X10MM	3600.0
A	107408700	4.0	ST	FLAT SPRING 0,8X10X56	6.0
A	107408701	6.0	ST	FLAT SPRING 0,8X10X33,5	0.0
A	107806800	2.0	ST	O-RING 170,00X3,00	0.0
A	107969300	8.0	ST	EMERGENCY STOP MODULE 24VDC/220VAC	-2.0
A	107988610	1.0	ST	TOOTHED BELT HTD 50X8MX2000 CXP	1.0
A	108049306	1.0	ST	SET OF SEALS 10X113X122	1.0
A	108214400	1.0	ST	V-BELT, CORDED L=3493	0.0
A	108224010	4.0	ST	SEAL 10X245X223,5	0.0
A	108224110	4.0	ST	SEAL 10X173X100,5	0.0
A	108224310	4.0	ST	SEAL 15X175X71  CUZN	0.0
A	109411002	1.0	ST	PULSE DISTRIBUTOR IV30	0.0
A	109611300	9.0	ST	PRESSURE SPRING 1,50X10,5X55,0	1.0
A	109612502	5.0	ST	SEALING LEDGE 5,5X65X2665	10.0
A	109888055	4.0	ST	KNIFE 2540X30X8 AB2500	14.0
A	110463301	1.0	ST	PROXIMITY SWITCH M18 5MM 10-65VDC 200MA	0.0
A	110658000	2.0	ST	TOOTHED BELT 15X 5X 500	3.0
A	111125198	2.0	ST	GLUE DAM JOINT 3X128X197	6.0
A	111125199	2.0	ST	GLUE DAM JOINT 3X128X197	10.0
A	111125303	4.0	ST	GLUE DAM JOINT 3X260X220	18.0
A	111537801	5.0	ST	RELAY 24VDC 10A 3CO	0.0
A	111537822	6.0	ST	RELAY 2WE/24VDC/8A	1.0
A	111537832	2.0	ST	RELAY 4WE/24VDC/5A/GK	0.0
A	112314200	2.0	ST	LIGHT BARRIER 5-500MM	0.0
A	112315600	1.0	ST	NEGATIVE FEEDER UNIT 45A	0.0
A	112614200	1.0	ST	CONVERTER 24 VDC	0.0
A	112827900	2.0	ST	O-RING 93,00X4,00	0.0
A	113463300	11.0	M	RUBBER SPONGE CORD D=15	6.0
A	113869700	32.0	ST	FLAT PACKING 32 X 43  X 2	8.0
A	113878200	16.0	ST	FLAT PACKING 42X56X2	0.0
A	113968101	2.0	ST	LIGHT BARRIER 10-30VDC	0.0
A	114122040	1.0	ST	COMMUNICATION MODULE IM153-4	0.0
A	114122500	2.0	ST	DIGITAL IN/OUTPUT S7/300/32DO/24VDC/0,5A	0.0
A	114122600	3.0	ST	DIGITAL IN/OUTPUT 6ES7 321-1BL00-0AA0	3.0
A	114421600	1.0	ST	ANALOG INPUT/OUTPUT 4AO	0.0
A	114421700	1.0	ST	ANALOG INPUT/OUTPUT 8AI	0.0
A	114506600	6.0	ST	CONTACTOR	0.0
A	114519400	12.0	ST	SUPPORT RING SG38.8X45X1.4G	27.0
A	114779700	4.0	ST	V-RING 90  X 9,0	0.0
A	114816800	2.0	ST	SEALING LEDGE 5,5X15X160LG	0.0
A	116784410	3.0	ST	FUSE 200A	0.0
A	116869002	3.0	ST	FUSE 12A;660VDC	0.0
A	116869007	3.0	ST	FUSE 32A;660VDC	0.0
A	116869009	3.0	ST	FUSE 63A;660VDC	0.0
A	116980600	2.0	ST	DIGITAL IN/OUTPUT 6ES7 323-1BL00-0AA0	0.0
A	117017507	1.0	ST	CENTRAL ASSEMBLY CPU314C	0.0
